route_id,route_licence_number,sub_agency_name
L148,100148,"Dopravní podnik hl. m. Prahy, akciová společnost"
L149,100149,"Dopravní podnik hl. m. Prahy, akciová společnost"
L150,100150,"Dopravní podnik hl. m. Prahy, akciová společnost"
L151,100151,"Dopravní podnik hl. m. Prahy, akciová společnost"
L152,100152,"Dopravní podnik hl. m. Prahy, akciová společnost"
L154,100154,"Dopravní podnik hl. m. Prahy, akciová společnost"
L156,100156,"Dopravní podnik hl. m. Prahy, akciová společnost"
L157,100157,"Dopravní podnik hl. m. Prahy, akciová společnost"
L158,100158,"Dopravní podnik hl. m. Prahy, akciová společnost"
L160,100160,"Dopravní podnik hl. m. Prahy, akciová společnost"
L161,100161,"Dopravní podnik hl. m. Prahy, akciová společnost"
L162,100162,"Dopravní podnik hl. m. Prahy, akciová společnost"
L165,100165,"Dopravní podnik hl. m. Prahy, akciová společnost"
L167,100167,"Dopravní podnik hl. m. Prahy, akciová společnost"
L168,100168,"Dopravní podnik hl. m. Prahy, akciová společnost"
L169,100169,"Dopravní podnik hl. m. Prahy, akciová společnost"
L170,100170,"Dopravní podnik hl. m. Prahy, akciová společnost"
L172,100172,"Dopravní podnik hl. m. Prahy, akciová společnost"
L174,100174,"Dopravní podnik hl. m. Prahy, akciová společnost"
L175,100175,"Dopravní podnik hl. m. Prahy, akciová společnost"
L176,100176,"Dopravní podnik hl. m. Prahy, akciová společnost"
L177,100177,"Dopravní podnik hl. m. Prahy, akciová společnost"
L180,100180,"Dopravní podnik hl. m. Prahy, akciová společnost"
L181,100181,"Dopravní podnik hl. m. Prahy, akciová společnost"
L182,100182,"Dopravní podnik hl. m. Prahy, akciová společnost"
L183,100183,"Dopravní podnik hl. m. Prahy, akciová společnost"
L184,100184,"Dopravní podnik hl. m. Prahy, akciová společnost"
L185,100185,"Dopravní podnik hl. m. Prahy, akciová společnost"
L188,100188,"Dopravní podnik hl. m. Prahy, akciová společnost"
L189,100189,"Dopravní podnik hl. m. Prahy, akciová společnost"
